model,image_idx,y_true,k_total,winning_corruption,phase1_l2,phase1_queries,phase1_ssim,phase1_mse,phase1_linf,best_l2,final_l2,final_label,final_ssim,final_mse,final_linf,IR_phase3,n_gens,queries_phase3,q_offspring_eval,q_xi_shrink,q_theta_bs,runtime_sec
robust,97,8,14,blur,5.344600628830285,94,0.7328681945800781,0.009298423138571972,0.39385083317756653,4.543566256197038,4.548862107940232,3,0.8328547477722168,0.006735724740697416,0.31164786219596863,0.14987731137706375,17,1907,952,19,936,8.482496738433838
standard,98,7,14,jpeg,2.9045938150470967,135,0.9171330332756042,0.002746310296357373,0.286085844039917,2.776757124227279,2.911229371510979,5,0.9256681799888611,0.0027588725360423133,0.36277276277542114,0.04401189941174092,13,1881,728,35,1118,7.394841909408569
robust,98,7,14,blur,7.921799918189581,97,0.5757262110710144,0.020428031882756662,0.5387542769312859,7.872348559257549,8.539494353965209,3,0.5308613181114197,0.023737943936742268,0.6014021597802639,0.006242439779182587,13,1903,728,31,1144,8.048834562301636
standard,99,4,14,fractal_random,1.5347066927415736,133,0.9500465393066406,0.0007667072372219332,0.10683213919401169,1.1636935493820408,1.1789120892149016,6,0.9697592854499817,0.00045241982900124083,0.049946606159210205,0.24174856675496817,18,1894,992,18,884,7.504045009613037
robust,99,4,14,fractal_random,6.623426384255637,48,0.4369267225265503,0.014280526389210207,0.44408825039863586,4.632454354912561,4.63646450262643,6,0.7352476119995117,0.0069976572857581845,0.36699986457824707,0.30059547941466686,20,1976,1120,76,780,8.234261512756348
standard,100,0,14,fractal_random,1.0618229969547002,36,0.9859607219696045,0.0003670143479368038,0.06896644830703735,1.0015559205287319,1.0295986948988602,3,0.9869706630706787,0.0003450760049791817,0.06692886352539062,0.05675811938412879,17,1991,908,17,1066,7.602910757064819
robust,100,0,14,fractal_random,9.926652520104644,95,0.4312978684902191,0.032076311931933554,0.7421773597598076,7.409834286400531,7.409954700296361,2,0.712688148021698,0.0178735119727207,0.6208354234695435,0.2535414862771465,18,1918,1008,52,858,7.9369213581085205
standard,101,6,14,jpeg,1.6172056466534783,142,0.9466614723205566,0.000851352247255174,0.15432602167129517,1.3729937187386185,1.3954509784039595,3,0.9573960304260254,0.0006338813213254281,0.14315247535705566,0.15100857978094084,17,1885,932,17,936,7.564150094985962
robust,101,6,14,blur,1.6445076339112294,72,0.9464824199676514,0.0008803402858047884,0.17878776788711548,1.327127247269411,1.327127247269411,2,0.9714414477348328,0.0005733290265218529,0.08997556567192078,0.19299417047215164,19,1955,1026,19,910,8.278639316558838
standard,102,2,14,blur,1.4205220435214025,118,0.9386877417564392,0.0006568629154069732,0.12424075603485107,1.172811442334151,1.1826662911102306,3,0.9553394913673401,0.0004553058497556539,0.11040040850639343,0.1743799769366405,16,1901,896,17,988,7.694398880004883
robust,102,2,14,jpeg,4.524499051152574,118,0.6378726959228516,0.00666376681766945,0.321646511554718,3.622847129821331,3.622847129821331,4,0.647106409072876,0.004272467860238888,0.2646578699350357,0.19928215502698704,17,1888,952,26,910,8.156804084777832
standard,103,1,14,blur,3.7342137253421503,136,0.7639141082763672,0.004539177131033108,0.3252284452319145,3.649373919517112,3.649373919517112,1,0.7745168805122375,0.004335263650991647,0.3232388198375702,0.02271959027124642,2,1890,112,1674,104,7.660125255584717
robust,103,1,14,blur,4.228204153814939,140,0.6901529431343079,0.00581956717654229,0.37929683178663254,3.8327092196143333,3.8327092196143333,8,0.7956357598304749,0.004781790353778903,0.4223942384123802,0.09353733164557979,17,1887,934,17,936,8.124581336975098
standard,104,3,14,jpeg,1.7666612193952922,87,0.9457383155822754,0.0010159804245166864,0.12096160650253296,1.7666278574598124,1.8559365000321812,7,0.9428611397743225,0.0011212566121143025,0.13065685331821442,1.8884172649229346e-05,13,1928,728,30,1170,7.482339382171631
robust,104,3,14,fractal_random,5.701989700515518,93,0.661694347858429,0.010583556817963885,0.4027765393257141,4.266638927182107,4.277103767934149,6,0.8313567042350769,0.0059549532823113295,0.5002711266279221,0.25172805436734497,18,1934,1006,70,858,8.139126777648926
standard,105,0,14,fractal_random,0.9133688572997627,81,0.9541786313056946,0.00027156336897300596,0.05463820695877075,0.8590735260727014,0.8663749667063536,3,0.9635084271430969,0.00024433775661992114,0.05795067548751831,0.059445130839666765,18,1946,992,18,936,7.495193243026733
robust,105,0,14,fractal_random,5.5435403610202965,93,0.5388633608818054,0.010003528559329766,0.35524391382932663,3.34258608676389,3.402837796488939,2,0.7312566637992859,0.003769305019032092,0.24090984091162682,0.3970304410034669,20,1934,1093,35,806,8.021761178970337
standard,106,4,14,fractal_random,2.225780331958655,130,0.918191134929657,0.0016126621374134055,0.13633863627910614,1.6072717132179808,1.6181282559888748,8,0.9551270604133606,0.000852323905358025,0.10629944503307343,0.2778839447271041,17,1879,952,17,910,7.3610005378723145
robust,106,4,14,fractal_random,6.858501226516286,47,0.6194350719451904,0.015312187198608542,0.5433554649353027,4.949082957748518,4.997981553545759,9,0.7477744221687317,0.008131451759812778,0.34132951498031616,0.2784016807324594,19,1980,1051,19,910,8.60076904296875
standard,107,7,14,fractal_random,1.7284722310494711,83,0.9672473073005676,0.0009725313325225053,0.11751183867454529,1.560801166850073,1.5887014366433467,2,0.9708040356636047,0.0008216055751352605,0.11948910355567932,0.09700535605225999,16,1944,849,29,1066,8.202450275421143
robust,107,7,14,blur,3.5903434759769213,94,0.8562443852424622,0.004196147876136084,0.31186775863170624,3.4011761858528677,3.4011761858528677,5,0.8721146583557129,0.0037656248328580707,0.2477971911430359,0.05268779752961705,16,1914,896,30,988,10.114450693130493
standard,108,8,12,blur,1.6550600926575387,133,0.9444887042045593,0.0008916744499699155,0.17442581057548523,1.5572042349278663,1.5572042349278663,6,0.9453871250152588,0.0007893505875010198,0.17911306023597717,0.059125259659028304,16,1894,877,55,962,9.077867984771729
robust,108,8,12,fractal_random,4.893529989973158,45,0.6122294068336487,0.007795128829025615,0.3151934742927551,2.7881405890246866,2.789295669610672,0,0.857753574848175,0.0025326075049389137,0.18335402011871338,0.430239398810759,18,1966,1008,48,910,9.77339243888855
standard,109,1,14,blur,3.2689033823289693,141,0.8629330992698669,0.003478427513997975,0.2298385500907898,2.2528858410074055,2.3077145921850883,4,0.9374664425849915,0.0017335763771547084,0.18067368865013123,0.3108129615619566,16,1864,896,32,936,7.322949647903442
robust,109,1,14,blur,5.084754047154322,140,0.6470203399658203,0.008416251210954516,0.36239105463027954,4.554741918536854,4.643010778145023,6,0.7762691974639893,0.0070174313737484785,0.29888033866882324,0.10423554879986567,17,1887,919,32,936,8.257346391677856
standard,110,2,14,blur,2.2347474812087196,90,0.8701594471931458,0.001625682390875233,0.2810938060283661,2.2347474812087196,2.2527389301563328,2,0.8614895343780518,0.001651963778259447,0.2621457278728485,0.0,2,1936,112,1694,130,7.342034339904785
robust,110,2,14,blur,3.5370620702168165,95,0.7203075289726257,0.004072528674663568,0.4017866551876068,3.3977295001052275,3.3977295001052275,6,0.7392660975456238,0.0037579966591106914,0.38811615109443665,0.03939217558120155,15,1921,840,15,1066,8.7359139919281
standard,111,8,14,blur,1.3184291629019826,130,0.9649583697319031,0.000565838365101049,0.11706504225730896,0.7465396247113706,0.7505908691829258,3,0.9783173203468323,0.00018339408504331028,0.045841097831726074,0.4337658436891908,19,1897,1026,39,832,8.257889032363892
robust,111,8,14,fractal_random,5.526838952055748,49,0.5712151527404785,0.009943342708971572,0.38042211532592773,3.461242448423801,3.461242448423801,0,0.7538040280342102,0.0038998044608468166,0.25362642109394073,0.37373922445553315,20,1978,1111,35,832,9.38884973526001
standard,112,8,14,blur,1.7335519068031833,134,0.9194247722625732,0.0009782559289000497,0.20788341760635376,1.137109725726967,1.137109725726967,3,0.9504625797271729,0.00042090446238821273,0.07519090175628662,0.3440578725883705,18,1893,994,41,858,8.093799114227295
robust,112,8,14,fractal_random,3.8985068039808355,44,0.6866133809089661,0.004947381282775023,0.2532740384340286,3.2364091922075495,3.2364091922075495,9,0.7524352073669434,0.0034096173424580187,0.21706047654151917,0.16983364274167898,18,1971,1008,53,910,8.098103046417236
standard,113,3,14,fractal_random,2.888716254927103,40,0.9204047322273254,0.0027163677088151267,0.19157934188842773,0.8706571284562882,0.8725806332750886,6,0.9920018315315247,0.00024785057845309384,0.057888567447662354,0.6986006753099192,18,1979,1008,35,936,7.5459067821502686
robust,113,3,14,blur,8.836891336039164,98,0.25126463174819946,0.02542013297036591,0.49810027703642845,3.870742843626171,3.870742843626171,6,0.8846406936645508,0.004877164806916642,0.2770766019821167,0.5619791285833441,17,1918,952,30,936,8.00921630859375
standard,114,2,14,fractal_random,1.7761046627963464,133,0.8910396099090576,0.0010268710199241287,0.13885506987571716,1.1382191603950913,1.1677779141226525,3,0.9522015452384949,0.00044391446184427474,0.10245883464813232,0.35914859960839873,18,1884,1008,18,858,7.272986650466919
robust,114,2,14,blur,6.16111295709169,118,0.3700808584690094,0.012356547158217159,0.4777853935956955,6.061154813864335,6.061154813864335,2,0.4558633267879486,0.011958853268920664,0.5229502171278,0.016224040027102336,3,1908,168,1636,104,8.278003931045532
standard,115,4,14,jpeg,2.248400643975329,135,0.889840304851532,0.0016456072447358961,0.17368300259113312,2.1099229432539803,2.113625369449111,6,0.9044570922851562,0.0014542357725634558,0.21445676684379578,0.061589424061234146,15,1892,836,16,1040,7.683410882949829
robust,115,4,14,fractal_random,8.414279030740609,51,0.21501271426677704,0.023046904820039422,0.5351230800151825,5.502460014296968,5.512486960992467,6,0.6778092384338379,0.009891768300105757,0.4395177662372589,0.34605686426675913,20,1957,1120,57,780,8.162739515304565
standard,116,1,14,jpeg,2.6528386048592605,134,0.9536058306694031,0.002290870007627483,0.4025506377220154,2.5357110534745853,2.5357110534745853,9,0.9564114212989807,0.0020930437828366837,0.3479481339454651,0.04415178185741501,15,1893,812,15,1066,7.43518590927124
robust,116,1,14,blur,6.90612263236469,140,0.619299590587616,0.015525563090253847,0.44989554584026337,6.222241502747423,6.527383936356359,9,0.7159311175346375,0.013869381767918349,0.5539966821670532,0.09902533824295896,17,1887,902,75,910,8.457533359527588
standard,117,8,14,blur,2.900909921230105,139,0.9042766094207764,0.002739348428089601,0.21902573108673096,2.575142421900452,2.5846263400226395,3,0.9290132522583008,0.0021745746482803845,0.1737765669822693,0.11229838504999641,15,1885,840,57,988,7.702480316162109
robust,117,8,14,fractal_random,7.293949784012274,49,0.5674988627433777,0.01731826284234789,0.46981675922870636,4.358312612687862,4.459271485104315,6,0.8191466331481934,0.006473015054379301,0.25532960891723633,0.4024756487574239,20,1978,1073,73,832,8.375000953674316
standard,118,9,14,blur,3.766585741557926,92,0.872569739818573,0.004618218798342278,0.33234304189682007,3.1880730310007674,3.1880730310007674,1,0.9001994132995605,0.0033085317657644206,0.24455735087394714,0.15359074510749765,16,1917,896,33,988,7.606534481048584
robust,118,9,14,blur,8.59448772722012,98,0.3921140730381012,0.02404466773871657,0.48604942858219147,7.896538909695487,7.937804224694587,3,0.549124002456665,0.020510656187766946,0.403118371963501,0.08120889105631235,15,1926,840,20,1066,8.282652139663696
standard,119,1,14,fractal_random,0.7056497596316911,126,0.99356609582901,0.0001620903591368045,0.044607579708099365,0.5334126440183862,0.5381411266517702,6,0.9960817694664001,9.426950016800711e-05,0.036372244358062744,0.2440830075577477,18,1901,973,18,910,7.521463394165039
robust,119,1,14,blur,4.187973586327117,143,0.825859785079956,0.005709349856697139,0.4125576615333557,3.5692247136433357,3.5870288815660585,3,0.8842846751213074,0.004188403730201814,0.36524027585983276,0.14774421565214038,18,1884,1008,18,858,8.180667638778687
standard,120,2,14,fractal_random,0.730655273921162,126,0.9874675869941711,0.0001737816176135444,0.04966086149215698,0.6723781875146044,0.6829225103021107,3,0.9895645976066589,0.00015181743593994327,0.04742562770843506,0.079760029779578,16,1901,871,16,1014,7.368851661682129
robust,120,2,14,fractal_random,5.1348808025064345,92,0.6290730237960815,0.008583008091129276,0.3021807074546814,2.537874929896839,2.537874929896839,3,0.8944433331489563,0.002096617562333949,0.1502794325351715,0.5057577716978253,20,1935,1109,20,806,8.096851348876953
standard,121,9,14,blur,3.795984390619116,136,0.8575491905212402,0.004690591632104164,0.2558329701423645,3.5420236044823112,3.602896969702082,9,0.8799026608467102,0.0042255424870565874,0.2699848711490631,0.0669024843106334,4,1890,224,1406,260,7.358992099761963
robust,121,9,14,blur,6.467169114457167,98,0.5797472596168518,0.01361467329263956,0.3786287307739258,6.333530917220144,6.424226518625758,9,0.5932956337928772,0.013434468260222274,0.3810643255710602,0.02066409504249369,8,1928,448,934,546,8.180782318115234
standard,122,7,14,blur,3.342214207969651,137,0.8659622073173523,0.0036361965533705082,0.30028456449508667,3.315390118600912,3.315390118600912,7,0.8694579005241394,0.0035780636991500753,0.30846428871154785,0.008025843856679161,19,1889,1064,305,520,8.769457340240479
robust,122,7,14,blur,6.04074380738945,142,0.5324953198432922,0.011878445881026692,0.42718736827373505,5.356611906383198,5.358034318246618,4,0.6824483871459961,0.009345225159014604,0.45677119493484497,0.11325292427885712,17,1868,952,58,858,9.629814386367798
standard,123,2,14,jpeg,1.6293139915250126,140,0.9085968136787415,0.0008641484645114479,0.11899970471858978,1.3618225584759653,1.3686726131130553,6,0.9344022870063782,0.0006097867121019672,0.14199215173721313,0.16417426870475677,17,1879,952,17,910,8.714579343795776
robust,123,2,14,blur,3.651222170549992,95,0.49281546473503113,0.0043396560347382165,0.42179203033447266,2.4891366684535656,2.4891366684535656,6,0.8734309077262878,0.0020168624110823066,0.3003069758415222,0.3182730186811335,18,1922,1008,30,884,8.713747024536133
standard,124,6,14,blur,1.2943285817323285,137,0.9500095844268799,0.0005453406502243556,0.12813043594360352,0.9213561904026653,0.9511429646064818,3,0.9789202809333801,0.00029448988820778964,0.1829221248626709,0.2881589702905867,19,1890,1011,21,858,7.4632346630096436
robust,124,6,14,blur,2.618426109459216,142,0.7785568833351135,0.0022318213836906658,0.2242075800895691,2.3052223166282118,2.3512979643237255,2,0.8512702584266663,0.0017996752162648918,0.24997484683990479,0.11961528786301712,16,1876,896,18,962,8.224647283554077
standard,125,5,14,blur,1.7830043074714177,135,0.9734907150268555,0.0010348647006711035,0.16943538188934326,1.689579537996087,1.689579537996087,5,0.9765302538871765,0.0009292574898686145,0.1639021635055542,0.05239738854463108,14,1892,743,83,1066,7.37443470954895
robust,125,5,14,blur,6.406038069595723,97,0.61715167760849,0.013358503824579987,0.4493330642580986,5.473185008599548,5.476345233362102,3,0.779729425907135,0.009762485971507199,0.44520455226302147,0.14562090497458535,17,1921,952,85,884,9.054147481918335
standard,126,6,14,blur,2.535329487924036,142,0.8970535397529602,0.0020924139363076672,0.16947323083877563,1.8338105218179728,1.8613835965852095,3,0.9505144953727722,0.001127847924534574,0.1268000304698944,0.27669735608229634,19,1885,1034,19,832,8.5121431350708
robust,126,6,14,blur,5.080753064865219,143,0.6102806925773621,0.008403011623091573,0.30707108974456787,4.589623786144552,4.649511685327146,3,0.7413702607154846,0.00703709597606491,0.3047679364681244,0.09666466219682249,17,1882,952,20,910,8.90594482421875
standard,127,3,14,blur,2.861184168717696,87,0.8424075245857239,0.0026648355622788974,0.24032294750213623,1.340337983456214,1.340337983456214,2,0.9744476675987244,0.0005848000939215782,0.20753109455108643,0.5315443171709857,21,1937,1176,111,650,7.885083198547363
robust,127,3,14,blur,5.332358807221319,97,0.5172142386436462,0.009255875797184497,0.3867948651313782,4.197153258398587,4.197153258398587,4,0.8268885612487793,0.005734406102297754,0.3054516315460205,0.212889940430375,19,1930,1057,41,832,8.04695463180542
standard,128,8,14,blur,2.361520194608368,132,0.943038284778595,0.001815357301283576,0.2560523450374603,1.6780059755968493,1.679880456929397,3,0.9592649340629578,0.000918619229036508,0.14153757691383362,0.28943822736390873,17,1890,952,28,910,7.430625677108765
robust,128,8,14,fractal_random,11.899744553859922,51,0.32289835810661316,0.046095026187213194,0.7833848893642426,7.951457284275073,8.029790378648258,9,0.6482176184654236,0.02098878043289241,0.5678123384714127,0.3317959685364962,19,1976,1033,33,910,8.230306625366211
standard,129,7,14,fractal_random,0.9614435891288163,128,0.9885521531105042,0.00030090292157451177,0.07369109988212585,0.5862808201720019,0.5862808201720019,5,0.9957087635993958,0.00011188971164019664,0.047504812479019165,0.3902077804655779,19,1880,1064,36,780,7.3910439014434814
robust,129,7,14,blur,2.7606313411511763,92,0.9063858985900879,0.0024808220708809055,0.30157533288002014,2.4605960230914223,2.4725491786276566,3,0.9363473057746887,0.001990071416597738,0.31670477986335754,0.10868358755017248,15,1921,840,15,1066,8.169785976409912
standard,130,6,14,blur,1.5524747061578006,138,0.9418439865112305,0.0007845630577017416,0.14999346435070038,1.134048920196016,1.1372082454594943,3,0.9723327159881592,0.00042097741713826046,0.10018029808998108,0.26952180560631556,17,1880,952,18,910,7.607700824737549
robust,130,6,14,blur,4.217267735376812,118,0.5557502508163452,0.005789501025992929,0.39789605140686035,3.2755376238303353,3.2902838167143247,2,0.7841313481330872,0.0035240779880622544,0.2663549333810806,0.22330337333025257,16,1909,894,27,988,8.34392261505127
standard,131,5,14,fractal_random,0.8364273067456599,80,0.9965276122093201,0.00022773783836907497,0.05531114339828491,0.7530218097578124,0.7534599412766396,3,0.9971888661384583,0.0001847987851519872,0.04251676797866821,0.09971637261863016,18,1936,1008,18,910,7.555187225341797
robust,131,5,14,blur,10.25722245309092,97,0.47854623198509216,0.0342482462409481,0.611141499131918,5.488807264261613,5.535094373396419,7,0.8673836588859558,0.009973069579348378,0.41908107697963715,0.4648836671561499,20,1930,1078,20,832,8.173323154449463
standard,132,2,14,blur,2.772966159828862,136,0.9482215046882629,0.002503040795428395,0.2591060698032379,1.8519487550948244,1.9216082473822782,3,0.9584848284721375,0.0012020111570967115,0.15039703249931335,0.3321415955508378,18,1891,961,46,884,7.4175026416778564
robust,132,2,14,blur,4.965387662201215,97,0.812239944934845,0.008025740441386741,0.36524006724357605,4.772157974394242,4.822113673619231,3,0.8195705413818359,0.007569264428622965,0.40589872002601624,0.03891532765466144,14,1919,784,17,1118,8.194179773330688
standard,133,8,12,jpeg,2.160988890902208,132,0.9567472338676453,0.001520140946159751,0.2143087089061737,2.1575089154754727,2.2749848899931546,0,0.9530602097511292,0.00168475140170345,0.22176429629325867,0.0016103624786717489,14,1874,784,102,988,7.391732454299927
robust,133,8,12,fractal_random,9.07250211338511,50,0.570655345916748,0.026793715689250416,0.6455664038658142,8.381315414994159,8.381315414994159,6,0.6178831458091736,0.022866682329887134,0.6245908439159393,0.0761847933186159,19,1966,1064,408,494,8.147045850753784
standard,134,9,14,fractal_random,0.7226896893413273,126,0.9876505732536316,0.00017001314683602348,0.048568323254585266,0.4245031869459825,0.4245031869459825,1,0.9962117075920105,5.8659823703618567e-05,0.034389495849609375,0.41260655408978847,18,1884,1008,18,858,7.441091060638428
robust,134,9,14,blur,4.419915259649409,95,0.8007283806800842,0.00635926136148493,0.554893970489502,4.218825369450861,4.218825369450861,3,0.8230240941047668,0.0057937784601491404,0.559917539358139,0.045496322527798616,15,1932,813,27,1092,8.129711151123047
standard,135,6,14,jpeg,1.1110320502742823,138,0.9828178286552429,0.00040182038305230325,0.08341649174690247,0.6832222592402705,0.7103654089773125,3,0.9933611750602722,0.00016426399325627836,0.05320081114768982,0.3850562105102168,17,1889,910,17,962,7.423600196838379
robust,135,6,14,blur,2.975976342821466,140,0.8335207104682922,0.0028829541643987724,0.2404901385307312,2.652583755119321,2.6729149125532556,4,0.8807159066200256,0.002325675211994512,0.22968900203704834,0.10866772798185033,16,1876,896,18,962,8.07105302810669
standard,136,0,12,fractal_random,2.0819346229313616,38,0.9357383847236633,0.0014109543535678224,0.1465308666229248,1.640571664246416,1.6776614086757446,3,0.9540392756462097,0.0009161939465309743,0.11408475041389465,0.21199655062343262,18,1989,966,35,988,7.39287805557251
robust,136,0,12,blur,7.237225465278349,98,0.5962753891944885,0.017049945454190567,0.4435207825154066,7.087433285189842,7.125779036208029,2,0.6389901041984558,0.016528882520268382,0.5069606602191925,0.02069745937958634,17,1929,915,182,832,8.624477863311768
standard,137,0,14,fractal_random,0.5910951454738528,80,0.9815285801887512,0.0001137348538420427,0.036071449518203735,0.48682409766326457,0.48682409766326457,2,0.9875720143318176,7.714769347103462e-05,0.03565755486488342,0.17640315372070783,19,1941,1064,19,858,9.450147867202759
robust,137,0,14,fractal_random,4.233252075814675,44,0.6304689645767212,0.005833471073368897,0.2892315350472927,3.02868365596309,3.0309936974331566,4,0.7574513554573059,0.002990534791694746,0.2043871283531189,0.28454918305798493,19,1967,1064,19,884,10.26558232307434
standard,138,5,14,blur,1.8064214491020187,130,0.9384171366691589,0.0010622260585207803,0.12957251071929932,0.8063458594993496,0.8094493895417404,6,0.987286388874054,0.0002132839570188862,0.05855298042297363,0.5536225171040854,20,1894,1120,20,754,9.010867834091187
robust,138,5,14,blur,4.204136430873247,139,0.6686861515045166,0.00575350362285015,0.28958970308303833,3.728954168047729,3.728954168047729,5,0.7934015393257141,0.004526399491298179,0.4113472104072571,0.11302731741434414,2,1887,112,1697,78,8.158277034759521
standard,139,2,14,fractal_random,0.640170467923885,126,0.9707891941070557,0.00013340437109436387,0.04351174831390381,0.5160738458992045,0.5169350387722551,3,0.9839385151863098,8.698627482576686e-05,0.04427100718021393,0.1938493389536291,18,1901,973,18,910,7.483275651931763
robust,139,2,14,blur,3.431409566548452,139,0.6606618762016296,0.003832868363737056,0.4367332309484482,3.431409566548452,3.4759743102753555,2,0.6690285205841064,0.003933072073622322,0.45943836867809296,0.0,2,1887,112,1645,130,8.149219036102295
standard,140,9,12,blur,2.2948359021208575,132,0.9431132674217224,0.0017142811906454586,0.2352798581123352,2.28522755111255,2.28522755111255,9,0.9431036114692688,0.001699956071042597,0.2292817234992981,0.004186944695883247,2,1894,112,1678,104,7.698091268539429
robust,140,9,12,blur,4.843080005716873,72,0.7286984324455261,0.007635229147713069,0.3983515501022339,4.84307990650549,5.047608808126976,8,0.7351400256156921,0.008293735220060357,0.3771986812353134,2.0485183600468032e-08,13,1942,728,44,1170,8.983395338058472
standard,141,4,14,blur,2.130134339422708,138,0.8504140377044678,0.001477041765621034,0.2363906428217888,1.925703223307948,2.036065214298162,5,0.8691479563713074,0.0013494666648926968,0.22054287791252136,0.09597099691382062,16,1889,846,55,988,8.521413087844849
robust,141,4,14,blur,3.9882268495143887,142,0.49585461616516113,0.005177719206766755,0.39187630265951157,3.947642592530889,4.305856305124986,8,0.5137142539024353,0.006035285979982165,0.5234889909625053,0.010176015185405353,13,1880,728,34,1118,8.998816013336182
standard,142,2,14,fractal_random,0.6983130581919622,128,0.965417206287384,0.00015873734610723008,0.04450833797454834,0.5946311877670452,0.5980630814923659,3,0.9766280055046082,0.00011643210724066468,0.04577893018722534,0.14847476960170994,17,1899,920,17,962,7.561451435089111
robust,142,2,14,blur,8.89713661167851,72,0.424808531999588,0.025767916629840546,0.46215616166591644,4.459110991075157,4.62890798831749,6,0.7045528888702393,0.006974866308485566,0.37675613164901733,0.4988150473915323,19,1953,1064,31,858,8.189006567001343
standard,143,1,14,jpeg,2.4654364303785896,135,0.9048530459403992,0.0019786382787232823,0.2129678726196289,1.7434920444449236,1.7717996525122393,3,0.9285283088684082,0.0010218990953205442,0.13140011578798294,0.292826201900004,17,1892,905,77,910,7.466918706893921
robust,143,1,14,blur,3.827122745844592,138,0.8116576075553894,0.004767860843672221,0.28007738292217255,3.760558947067279,3.811358623841552,4,0.7898481488227844,0.004728663606344929,0.29809723794460297,0.017392648001579428,16,1889,874,27,988,8.251036405563354
standard,144,6,14,blur,2.0597772809807133,138,0.9656693339347839,0.0013810815257956708,0.19152593612670898,1.0843145508578644,1.0848079031674662,5,0.990680456161499,0.0003830755900057436,0.07503420114517212,0.47357679838977823,17,1879,952,17,910,7.5069260597229
robust,144,6,14,blur,3.9027086361145766,141,0.8708850741386414,0.00495805165963649,0.34312307834625244,2.681914389869703,2.682927006292664,3,0.9623939990997314,0.0023431306422360084,0.2221449315547943,0.3128069143947832,17,1879,952,17,910,8.24378776550293
standard,145,6,14,jpeg,1.9830896536037224,143,0.9365787506103516,0.0012801577390072043,0.1608298420906067,1.891150695187081,1.899924658792906,3,0.9422284960746765,0.001175037012697156,0.17579281330108643,0.04636147349645417,15,1869,840,15,1014,7.59759521484375
robust,145,6,14,blur,2.971572656156235,142,0.8673021197319031,0.0028744284019581456,0.2451348900794983,2.5504780132585405,2.571215190332991,4,0.9131386876106262,0.002152066245625239,0.23775607347488403,0.14170767187041802,18,1884,1008,18,858,8.117860317230225
standard,146,8,14,blur,1.8970398930120258,85,0.8734259605407715,0.0011714714699476167,0.15550312399864197,1.8559330419318922,1.8574166452226848,8,0.8809755444526672,0.0011230457594305148,0.16005226969718933,0.021668943932890178,20,1942,1069,197,676,7.477813482284546
robust,146,8,14,fractal_random,7.197056411265,51,0.30095747113227844,0.016861204748349817,0.5813396871089935,4.560955141093296,4.560955141093296,0,0.609187662601471,0.006771585838154394,0.39477966725826263,0.3662749212366346,20,1971,1120,71,780,8.246443033218384
standard,147,4,14,jpeg,1.3788961776620077,134,0.9189903736114502,0.0006189305562405257,0.13956347107887268,0.8069968087832207,0.8069968087832207,6,0.9778502583503723,0.0002119934445018471,0.09784990549087524,0.4147515803898108,20,1893,1104,35,754,7.796574354171753
robust,147,4,14,fractal_random,1.7744461294412157,38,0.8592908978462219,0.0010249541231409217,0.11650915443897247,0.6613640565102783,0.6699740034985043,6,0.9838100075721741,0.0001461149686721367,0.0509302020072937,0.6272842294070962,19,1986,1064,38,884,8.125206708908081
standard,148,5,14,fractal_random,2.84718050371744,132,0.9117582440376282,0.002638814069254132,0.2038930356502533,1.9553472178004416,1.9553472178004416,2,0.9533240795135498,0.0012445907336850646,0.13494569063186646,0.3132338412519229,19,1895,1045,44,806,7.517242431640625
robust,148,5,14,blur,4.447311792913328,140,0.7449299693107605,0.006438340554487616,0.30497366189956665,2.9641719676897593,2.9974267697935186,3,0.8936622738838196,0.0029246637767424374,0.2512497529387474,0.333491307622486,17,1879,952,17,910,8.140497207641602
standard,149,0,14,fractal_random,0.3017595166285489,125,0.9946058392524719,2.9641538371059728e-05,0.020699679851531982,0.18739152274048734,0.18974761497302403,8,0.9982505440711975,1.172010284251937e-05,0.01575678586959839,0.37900376818552145,17,1902,934,32,936,7.582735300064087
robust,149,0,14,blur,4.138113928382215,95,0.6582781076431274,0.005574214480556931,0.3680397570133209,2.5669347828110927,2.570203154430243,8,0.9290239214897156,0.0021503724519786574,0.166253924369812,0.37968484501956934,19,1907,1064,37,806,8.18656611442566
standard,150,9,14,blur,3.430612018368113,135,0.9149442315101624,0.0038310868556548625,0.25098198652267456,3.4055408320443417,3.4055408320443417,9,0.917563259601593,0.0037752956985128996,0.2474435269832611,0.007308079779798913,4,1891,224,1433,234,7.457866430282593
robust,150,9,14,blur,6.638643711822995,96,0.6292279362678528,0.014346220811369477,0.42546436190605164,6.436222307465263,6.436222307465263,7,0.705327033996582,0.013484686773693301,0.47193579375743866,0.030491379436018373,15,1910,840,30,1040,7.987645149230957
standard,151,9,14,fractal_random,1.4639050622031147,129,0.956068754196167,0.0006975970153463232,0.09831751883029938,1.3659618640468265,1.3667244931340374,6,0.9640539288520813,0.0006080520240443737,0.08522126078605652,0.06690543033500261,15,1895,840,15,1040,7.384991884231567
robust,151,9,14,fractal_random,6.249925905955538,91,0.6541905403137207,0.012715356064431698,0.47512561082839966,4.810670184365915,4.813041575460888,7,0.7972078919410706,0.007540810288767877,0.3448380082845688,0.23028364547780636,19,1925,1064,107,754,9.31027102470398
